dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleMoveTime,appleMoveTimeGoal,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2022-03-09,668.987,500,Cal,0,0,50,30,15,10
2022-03-10,755.178,500,Cal,0,0,66,30,19,10
2022-03-11,811.889,500,Cal,0,0,70,30,15,10
2022-03-12,723.296,500,Cal,0,0,31,30,15,10
2022-03-13,590.116,500,Cal,0,0,51,30,14,10
2022-03-14,746.303,500,Cal,0,0,77,30,15,10
2022-03-15,634.354,500,Cal,0,0,54,30,15,10
2022-03-16,739.632,500,Cal,0,0,67,30,16,10
2022-03-17,827.979,500,Cal,0,0,75,30,14,10
2022-03-18,840.496,500,Cal,0,0,52,30,16,10
2022-03-19,722.172,500,Cal,0,0,52,30,14,10
2022-03-20,791.938,500,Cal,0,0,40,30,17,10
2022-03-21,857.915,500,Cal,0,0,97,30,14,10
2022-03-22,775.504,500,Cal,0,0,47,30,16,10
2022-03-23,685.902,500,Cal,0,0,46,30,15,10
2022-03-24,642.462,500,Cal,0,0,41,30,16,10
2022-03-25,806.218,500,Cal,0,0,63,30,16,10
2022-03-26,926.797,500,Cal,0,0,61,30,16,10
2022-03-27,736.293,500,Cal,0,0,50,30,17,10
2022-03-28,769.804,500,Cal,0,0,60,30,15,10
2022-03-29,795.947,500,Cal,0,0,58,30,17,10
2022-03-30,953.295,500,Cal,0,0,70,30,16,10
2022-03-31,733.945,500,Cal,0,0,58,30,16,10
2022-04-01,755.418,500,Cal,0,0,62,30,15,10
2022-04-02,1032.69,500,Cal,0,0,118,30,17,10
2022-04-03,858.923,500,Cal,0,0,56,30,15,10
2022-04-04,993.2,500,Cal,0,0,99,30,15,10
2022-04-05,759.825,500,Cal,0,0,65,30,18,10
2022-04-06,853.287,500,Cal,0,0,76,30,16,10
2022-04-07,768.268,500,Cal,0,0,65,30,14,10
2022-04-08,806.041,500,Cal,0,0,67,30,14,10
2022-04-09,910.476,500,Cal,0,0,86,30,17,10
2022-04-10,893.215,500,Cal,0,0,65,30,16,10
2022-04-11,718.192,500,Cal,0,0,51,30,17,10
2022-04-12,814.982,500,Cal,0,0,53,30,14,10
2022-04-13,859.101,500,Cal,0,0,90,30,18,10
2022-04-14,822.37,500,Cal,0,0,65,30,16,10
2022-04-15,1162.32,500,Cal,0,0,113,30,17,10
2022-04-16,1067.14,500,Cal,0,0,77,30,16,10
2022-04-17,960.287,500,Cal,0,0,79,30,17,10
2022-04-18,984.714,500,Cal,0,0,112,30,15,10
2022-04-19,803.647,500,Cal,0,0,68,30,16,10
2022-04-20,880.144,500,Cal,0,0,77,30,13,10
2022-04-21,847.221,500,Cal,0,0,63,30,15,10
2022-04-22,1083.43,500,Cal,0,0,81,30,18,10
2022-04-23,1055.97,500,Cal,0,0,73,30,17,10
2022-04-24,1069.26,500,Cal,0,0,88,30,16,10
2022-04-25,824.387,500,Cal,0,0,86,30,17,10
2022-04-26,796.648,500,Cal,0,0,66,30,14,10
2022-04-27,796.794,500,Cal,0,0,66,30,16,10
2022-04-28,699.607,500,Cal,0,0,61,30,17,10
2022-04-29,970.62,500,Cal,0,0,101,30,16,10
2022-04-30,953.366,500,Cal,0,0,57,30,16,10
2022-05-01,883.94,500,Cal,0,0,77,30,16,10
2022-05-02,921.131,500,Cal,0,0,87,30,14,10
2022-05-03,768.423,500,Cal,0,0,66,30,16,10
2022-05-04,785.611,500,Cal,0,0,76,30,16,10
2022-05-05,883.752,500,Cal,0,0,58,30,17,10
2022-05-06,685.229,500,Cal,0,0,36,30,15,10
2022-05-07,784.668,500,Cal,0,0,64,30,16,10
2022-05-08,823.112,500,Cal,0,0,77,30,15,10
2022-05-09,910.292,500,Cal,0,0,101,30,16,10
2022-05-10,772.607,500,Cal,0,0,57,30,15,10
2022-05-11,822.415,500,Cal,0,0,82,30,17,10
2022-05-12,711.587,500,Cal,0,0,56,30,16,10
2022-05-13,851.829,500,Cal,0,0,67,30,16,10
2022-05-14,885.968,500,Cal,0,0,78,30,17,10
2022-05-15,1127.25,500,Cal,0,0,103,30,17,10
2022-05-16,854.565,500,Cal,0,0,85,30,16,10
2022-05-17,803.173,500,Cal,0,0,63,30,18,10
2022-05-18,781.435,500,Cal,0,0,80,30,17,10
2022-05-19,813.64,500,Cal,0,0,60,30,16,10
2022-05-20,1071.91,500,Cal,0,0,69,30,19,10
2022-05-21,1387.54,500,Cal,0,0,157,30,18,10
2022-05-22,921.407,500,Cal,0,0,86,30,18,10
2022-05-23,960.964,500,Cal,0,0,91,30,16,10
2022-05-24,756.89,500,Cal,0,0,54,30,16,10
2022-05-25,783.628,500,Cal,0,0,70,30,15,10
2022-05-26,711.224,500,Cal,0,0,56,30,16,10
2022-05-27,920.129,500,Cal,0,0,99,30,15,10
2022-05-28,1429.47,500,Cal,0,0,148,30,17,10
2022-05-29,1021.34,500,Cal,0,0,79,30,15,10
2022-05-30,923.244,500,Cal,0,0,65,30,18,10
2022-05-31,803.374,500,Cal,0,0,49,30,18,10
2022-06-01,874.093,500,Cal,0,0,97,30,17,10
2022-06-02,781.305,500,Cal,0,0,40,30,18,10
2022-06-03,1210.78,500,Cal,0,0,121,30,18,10
2022-06-04,1139.48,500,Cal,0,0,82,30,19,10
2022-06-05,1065.54,500,Cal,0,0,123,30,17,10
2022-06-06,990.101,500,Cal,0,0,60,30,17,10
2022-06-07,776.118,500,Cal,0,0,64,30,16,10
